"Name und Vorname der kindergeldberechtigten Person","Name und Vorname der kindergeldberechtigten Person"
"Kindergeld-Nr.","Kindergeld-Nr."
"Telefonische Rückfrage tagsüber unter Nr.:","Telefonische Rückfrage tagsüber unter Nr.:"
"Bitte Hinweise beachten!","Bitte Hinweise beachten!"
"Haushaltsbescheinigung","Haushaltsbescheinigung"
"zur Vorlage bei der Familienkasse","zur Vorlage bei der Familienkasse"
"Erklärung über die Haushaltszugehörigkeit von Kindern","Erklärung über die Haushaltszugehörigkeit von Kindern"
"durch Herrn/Frau","durch Herrn/Frau"
"Name","Name"
"Vorname","Vorname"
"Geburtsdatum","Geburtsdatum"
"Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)","Anschrift (Straße/Platz, Hausnummer, Postleitzahl, Wohnort, Staat)"
"Familienstand:","Familienstand:"
"ledig","ledig"
"seit","seit"
"verheiratet","verheiratet"
"verwitwet","verwitwet"
"in eingetragener Lebenspartnerschaft lebend","in eingetragener Lebenspartnerschaft lebend"
"geschieden","geschieden"
"dauernd getrennt lebend","dauernd getrennt lebend"
"Tragen Sie bitte nachstehend in der Reihenfolge der Geburten – mit dem ältesten Kind beginnend – die zu Ihrem Haushalt gehörenden Kinder ein, die Sie im Antrag auf Kindergeld/Fragebogen aufgeführt haben.","Tragen Sie bitte nachstehend in der Reihenfolge der Geburten – mit dem ältesten Kind beginnend – die zu Ihrem Haushalt gehörenden Kinder ein, die Sie im Antrag auf Kindergeld/Fragebogen aufgeführt haben."
"Zu meinem Haushalt unter der oben angegebenen Anschrift gehören folgende Kinder:","Zu meinem Haushalt unter der oben angegebenen Anschrift gehören folgende Kinder:"
"lfd. Nr.","lfd. Nr."
"Name und Vorname des Kindes","Name und Vorname des Kindes"
"geboren am","geboren am"
"Haushaltsaufnahme am","Haushaltsaufnahme am"
"In Deutschland seit *)","In Deutschland seit *)"
"*) Nur sofern ein Zuzug aus dem Ausland erfolgte, ist hier anzugeben, seit wann sich das Kind ununterbrochen in Deutschland aufhält.","*) Nur sofern ein Zuzug aus dem Ausland erfolgte, ist hier anzugeben, seit wann sich das Kind ununterbrochen in Deutschland aufhält."
"**Hinweis zum Datenschutz**: Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommensteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches verarbeitet. Nähere Informationen zu Ihren Rechten im Rahmen der Erhebung von personenbezogenen Daten nach Artikel 13 und 14 der Datenschutz-Grundverordnung erhalten Sie im Internet auf der Seite Ihrer Familienkasse (zu finden unter www.familienkasse.de), auf der auch die Kontaktdaten des Datenschutzbeauftragten bereitgestellt sind.","**Hinweis zum Datenschutz**: Die Daten werden aufgrund und zum Zweck der §§ 31, 62 bis 78 Einkommensteuergesetz und der Regelungen der Abgabenordnung bzw. aufgrund des Bundeskindergeldgesetzes und des Sozialgesetzbuches verarbeitet. Nähere Informationen zu Ihren Rechten im Rahmen der Erhebung von personenbezogenen Daten nach Artikel 13 und 14 der Datenschutz-Grundverordnung erhalten Sie im Internet auf der Seite Ihrer Familienkasse (zu finden unter www.familienkasse.de), auf der auch die Kontaktdaten des Datenschutzbeauftragten bereitgestellt sind."
"Datum","Datum"
"Unterschrift der kindergeldberechtigten Person bzw. der gesetzlichen Vertretung","Unterschrift der kindergeldberechtigten Person bzw. der gesetzlichen Vertretung"
"Amtliche Bescheinigung der Angaben","Amtliche Bescheinigung der Angaben"
"Es wird hiermit bescheinigt, dass die unter A genannte Person und die unter lfd. Nr. ... bis lfd. Nr. ... aufgeführten Kinder nach den hier vorhandenen Unterlagen bzw. Erkenntnissen wie angegeben gemeldet sind.","Es wird hiermit bescheinigt, dass die unter A genannte Person und die unter lfd. Nr. ... bis lfd. Nr. ... aufgeführten Kinder nach den hier vorhandenen Unterlagen bzw. Erkenntnissen wie angegeben gemeldet sind."
"Bemerkungen:","Bemerkungen:"
"**Bitte beachten Sie**: Die Angaben dienen der steuerrechtlichen Beurteilung, ob ein gesetzlich geregelter Kindergeldanspruch gegeben ist. Diese Beurteilung nimmt die zuständige Familienkasse in ihrer Funktion als Bundesfinanzbehörde wahr. Die Angaben sind wahrheitsgetreu zu machen.","**Bitte beachten Sie**: Die Angaben dienen der steuerrechtlichen Beurteilung, ob ein gesetzlich geregelter Kindergeldanspruch gegeben ist. Diese Beurteilung nimmt die zuständige Familienkasse in ihrer Funktion als Bundesfinanzbehörde wahr. Die Angaben sind wahrheitsgetreu zu machen."
"Dienstsiegel oder Stempel","Dienstsiegel oder Stempel"
"Unterschrift","Unterschrift"
"Hinweise","Hinweise"
"Kindergeld kann Ihnen grundsätzlich für die Kinder gezahlt werden, die zu Ihrem Haushalt gehören. Eine Haushaltszugehörigkeit liegt nur vor, wenn das Kind ständig in Ihrem Haushalt lebt, von Ihnen betreut und erzogen wird und aus den Mitteln Ihres Haushalts versorgt wird. Allein die bloße Anmeldung eines Kindes bei einer Meldebehörde führt nicht zur Haushaltszugehörigkeit. Während einer zeitweiligen auswärtigen Unterbringung zur Schul- oder Berufsausbildung bleibt eine bestehende Haushaltszugehörigkeit erhalten.","Kindergeld kann Ihnen grundsätzlich für die Kinder gezahlt werden, die zu Ihrem Haushalt gehören. Eine Haushaltszugehörigkeit liegt nur vor, wenn das Kind ständig in Ihrem Haushalt lebt, von Ihnen betreut und erzogen wird und aus den Mitteln Ihres Haushalts versorgt wird. Allein die bloße Anmeldung eines Kindes bei einer Meldebehörde führt nicht zur Haushaltszugehörigkeit. Während einer zeitweiligen auswärtigen Unterbringung zur Schul- oder Berufsausbildung bleibt eine bestehende Haushaltszugehörigkeit erhalten."
"Näheres finden Sie dazu im Merkblatt über Kindergeld.","Näheres finden Sie dazu im Merkblatt über Kindergeld."
"Das Vorhandensein der Kinder und ihre Zugehörigkeit zum Haushalt sind amtlich nachzuweisen. Diesem Zweck dient die umseitige Haushaltsbescheinigung.","Das Vorhandensein der Kinder und ihre Zugehörigkeit zum Haushalt sind amtlich nachzuweisen. Diesem Zweck dient die umseitige Haushaltsbescheinigung."
"Füllen Sie deshalb bitte den Abschnitt A gut leserlich aus. Im Abschnitt B sind Ihre Angaben durch die zuständige Meldebehörde (Einwohnermeldeamt) oder eine andere öffentliche Stelle zu bescheinigen und mit dem Dienstsiegel oder Dienststempel zu versehen.","Füllen Sie deshalb bitte den Abschnitt A gut leserlich aus. Im Abschnitt B sind Ihre Angaben durch die zuständige Meldebehörde (Einwohnermeldeamt) oder eine andere öffentliche Stelle zu bescheinigen und mit dem Dienstsiegel oder Dienststempel zu versehen."
"Haben Sie Kinder in Ihrem Antrag auf Kindergeld aufgeführt, die dauerhaft (nicht nur vorübergehend) außerhalb Ihres Haushaltes leben, reichen Sie bitte eine »Lebensbescheinigung« (KG 3b) ein. Falls solche Kinder in Schul- oder Berufsausbildung stehen, kann anstelle einer Lebensbescheinigung auch eine Schul- oder Ausbildungsbescheinigung eingereicht werden, die jedoch nicht älter als sechs Monate sein darf. Die entsprechenden Bescheinigungsvordrucke erhalten Sie bei Ihrer Familienkasse.","Haben Sie Kinder in Ihrem Antrag auf Kindergeld aufgeführt, die dauerhaft (nicht nur vorübergehend) außerhalb Ihres Haushaltes leben, reichen Sie bitte eine »Lebensbescheinigung« (KG 3b) ein. Falls solche Kinder in Schul- oder Berufsausbildung stehen, kann anstelle einer Lebensbescheinigung auch eine Schul- oder Ausbildungsbescheinigung eingereicht werden, die jedoch nicht älter als sechs Monate sein darf. Die entsprechenden Bescheinigungsvordrucke erhalten Sie bei Ihrer Familienkasse."
