Anlage 1,
- Unterhalt -,
"(Anlage 1) - Unterhalt. Name, Vorname",
Geschäftszeichen,Numero de referencia
Zum Antrag vom,Relacionado con la solicitud de (fecha)
Für Personenziffer,
"Die Angaben zu früheren Ehen sind erforderlich, soweit daraus noch Unterhaltsansprüche bestehen. Ggf. auf gesondertem Blatt fortsetzen!",
Personendaten des Ehegatten,
Letzte Ehe,
Ehe,
"Name, Vorname","Apellido, nombre"
Geburtsdatum,fecha de nacimiento
Anschrift,Dirección
Hat der Ehegatte Beiträge zur Rentenversicherung gezahlt?,
Ja,Sí
Rententräger,
Nein,No
Grund,superficie
Falls verstorben,
Todestag,
Falls geschieden,
Datum der Scheidung,
Gericht,
Aktenzeichen,
Falls Scheidung vor Teil dem 1.1.1977,
Schuldiger Teil,
bei beiderseitigem Verschulden,
Überwieg. schuldig,
Zu Unterhalt verurteilt? (Ggf. bitte Urteil / Beschluss beifügen),
"Gericht, Aktenzeichen",
Höhe (EUR),
Beiträge zum Unterhalt,
Art,tipo
_____ EUR monatlich,
keine,
Letztmalig - Datum u. Betrag –,
Private Unterhaltsvereinbarung?,
"Ggf. Rechtsanwalt (Name, Anschrift)",
Höhe (EUR) bzw. Art,
Ist ein Unterhaltsverfahren eingeleitet?,
Antrag,
Antrag auf einstweilige Anordnung,
Wurde auf Unterhalt verzichtet?,
Vergleich,
Private Vereinbarung,
Antragsteller minderjährig/volljährig,
Elternteile außerhalb des Haushalts,
Vater,
Beruf,
Arbeitgeber,
Mutter,
Falls nichtehelich: Ist die Vaterschaft anerkannt oder gerichtlich festgestellt?,
Wird Unterhalt gezahlt?,
Betrag (EUR),
Letztmalig (Datum und Betrag),
Wurde Unterhalt festgesetzt?,
Urteil / Beschluss,
Urkunde,
Behörde bzw. Gericht,
Wird eine Schule besucht?,
Bezeichnung der Schule,
