Anlage 2 - Ausländer -,Formulaire 2 - Étrangers -
"Name, Vorname","Nom, prénom"
Geschäftszeichen,Référence
Zum Antrag vom,date de la demande
Pass-Nr.:,Passeport n°:
ausgestellt am,délivré le
gültig bis,valable jusqu’au
von (Dienststelle),autorité (lieu)
Passeinzugsbescheinigung,Attestation de retenue du passeport
Grenzübertrittsbescheinigung,Attestation de passage des frontières
mit Ausreisefrist bis zum,assorti d'un délai d'obligation de quitter le territoire avant le
Aufenthaltsdokumente,Titres de séjour
Niederlassungserlaubnis,Permis d'établissement (permis de résidence)
\- unbefristet -,\- illimité -
Visum auf Einladung von,Visa d'invitation de
befristet bis,limité jusqu'au
"Aufenthaltserlaubnis wg. des Krieges im Heimatland nach § 23 Abs. 1 oder § 24 oder nach § 25 Abs. 4 Satz1, Abs. 4 a, 4 b oder Abs.5 AufenthG","Permis de séjour pour cause de guerre dans le pays d'origine en vertu du § 23 al. 1 ou du § 24 ou en vertu du § 25 al. 4 phrase 1, al. 4 a, 4 b ou al. 5 de la loi allemande sur le séjour des étrangers en Allemagne (Aufenthaltsgesetz, AufenthG)"
Andere Aufenthaltserlaubnis i.S. des AufenthG,"Autre titre de séjour selon la loi allemande sur le séjour des étrangers en Allemagne (Aufenthaltsgesetz, AufenthG)"
Aufenthaltsgestattung zur Durchführung eines Asylverfahrens,Autorisation provisoire de séjour pour examen d'une demande d'asile
Aussetzung der Abschiebung (Duldung),"Suspension temporaire d'une mesure d'expulsion (tolérance, «Duldung»)"
Fiktionsbescheinigung „gilt Abschiebung als ausgesetzt“,Certification de fiction légale de maintien d'un droit au séjour mentionnant «mesure d'expulsion considérée comme suspendue»
Fiktionsbescheinigung „gilt Aufenthalt als erlaubt“ oder „gilt Aufenthaltstitel als fortbestehend“,Certification de fiction légale de maintien d'un droit au séjour mentionnant «séjour considéré comme autorisé» ou «titre de séjour considéré comme existant»
nicht erhalten,non reçu
Klage eingereicht am ... ;bevollmächtigter Rechtsanwalt (Name und Anschrift),Plainte déposée le ... ;avocat mandaté (nom et adresse)
Vorlage einer Verpflichtungserklärung,Présentation d'une déclaration de prise en charge
Nein,Non
Ja,Oui
Name,Nom
Anschrift,Adresse
Zeitraum,Période
Ausübung einer Erwerbstätigkeit,Exercice d'une activité professionnelle
nicht erlaubt,non autorisé
erlaubt,autorisé
unbefristet,non limité
von (Bundesagentur) für Arbeit,par (Agence fédérale) pour l'emploi
Asyl,Asile
nicht beantragt,non demandée
beantragt,demandée
am,le
abgelehnt am,refusée le
Folgeantrag,Demande ultérieure (nouvelle demande)
Zweitantrag,Deuxième demande
Klage eingereicht,Plainte déposée
bevollmächtigter Rechtsanwalt (Name und Anschrift),avocat mandaté (nom et adresse)
Einreise,Entrée sur le territoire
Zeitpunkt der letzten Einreise in die BRD,Date de la dernière entrée sur le territoire de la RFA (Allemagne)
Datum,Date
frühere Aufenthalte in der BRD,précédents séjours en RFA (Allemagne)
letzter gewöhnlicher Aufenthalt im Ausland (Ort/Land),dernier séjour ordinaire à l'étranger (ville/pays)
"Gründe für den jetzigen Aufenthalt; ggf. Gründe, weshalb ich nicht in mein Heimatland zurückkehren kann:","Raisons du présent séjour; le cas échéant, raisons pour lesquelles je ne peux pas retourner dans mon pays d'origine:"
Datum und Unterschrift d. Antragstellers/Antragstellerin,Date et signature du/de la demandeur/demandeuse
